Zeitstempel;Wo wohnst Du? (Postleitzahl);Wie weit wärest Du bereit, für das Treffen der Helden 2027 zu fahren? (in Kilometern);Warst Du schon mal auf einem Treffen der Helden?
15.06.2026 22:08:20;81735;700;Treffen der Helden 2024 (Kaiserslautern)
15.06.2026 22:11:29;63067;400;Treffen der Helden 2026 (Hannover)
15.06.2026 22:12:01;91301;600;Treffen der Helden 2025 (Kaiserslautern)
15.06.2026 22:15:29;44627;300;Treffen der Helden 2026 (Hannover)
15.06.2026 22:30:32;67122;200;
15.06.2026 22:31:29;69168;250;Treffen der Helden 2026 (Hannover)
15.06.2026 22:40:00;10115;500;
15.06.2026 22:41:00;20095;350;
15.06.2026 22:42:00;50667;300;Treffen der Helden 2025 (Kaiserslautern)
15.06.2026 22:43:00;01067;450;
